Model,Best_Accuracy,Params,FC_Dims
Chebyshev,95.01054577669859,1200,"[5, 50, 1]"
Chebyshev,94.9681188011263,936,"[5, 39, 1]"
Chebyshev,94.91073731798166,1008,"[5, 42, 1]"
Chebyshev,94.90284001452916,1272,"[5, 53, 1]"
Chebyshev,94.89597172130611,1128,"[5, 47, 1]"
Chebyshev,94.87123003494284,888,"[5, 37, 1]"
Chebyshev,94.87120273191803,1344,"[5, 56, 1]"
Chebyshev,94.8459994973673,888,"[5, 37, 1]"
Chebyshev,94.8370623091594,936,"[5, 39, 1]"
Chebyshev,94.7886793040841,984,"[5, 41, 1]"
Chebyshev,94.64838436409397,1536,"[5, 64, 1]"
Chebyshev,94.62857814146192,888,"[5, 37, 1]"
Chebyshev,94.62663365532995,1344,"[5, 56, 1]"
Chebyshev,94.61436851323761,1032,"[5, 43, 1]"
Chebyshev,94.60836762433433,1416,"[5, 59, 1]"
Chebyshev,94.54791856588558,672,"[5, 28, 1]"
Chebyshev,94.52672585931869,960,"[5, 40, 1]"
Chebyshev,94.48043278100786,1176,"[5, 49, 1]"
Chebyshev,94.45236033213146,1608,"[5, 67, 1]"
Chebyshev,94.43147407899534,1728,"[5, 72, 1]"
Chebyshev,94.40661264720833,672,"[5, 28, 1]"
Chebyshev,94.3752414141062,528,"[5, 22, 1]"
Chebyshev,94.30425541870704,1440,"[5, 60, 1]"
Chebyshev,94.26234228653601,792,"[5, 33, 1]"
Chebyshev,94.25199085180712,792,"[5, 33, 1]"
Chebyshev,94.23963265195509,1080,"[5, 45, 1]"
Chebyshev,94.23607931179461,552,"[5, 23, 1]"
Chebyshev,94.17016545132516,744,"[5, 31, 1]"
Chebyshev,94.06495442132491,1608,"[5, 67, 1]"
Chebyshev,93.99967814503817,1272,"[5, 53, 1]"
Chebyshev,93.97322824087924,1944,"[5, 81, 1]"
Chebyshev,93.92929232671136,1128,"[5, 47, 1]"
Chebyshev,93.92687348544929,1272,"[5, 53, 1]"
Chebyshev,93.89233338883787,552,"[5, 23, 1]"
Chebyshev,93.84183119847673,1248,"[5, 52, 1]"
Chebyshev,93.79676345323986,1752,"[5, 73, 1]"
Chebyshev,93.73902961400043,1560,"[5, 65, 1]"
Chebyshev,93.69310722576337,1200,"[5, 50, 1]"
Chebyshev,93.61735173028288,384,"[5, 16, 1]"
Chebyshev,93.58670351187916,2352,"[5, 98, 1]"
Chebyshev,93.5433447557203,792,"[5, 33, 1]"
Chebyshev,93.53182579159848,1104,"[5, 46, 1]"
Chebyshev,93.39771509583858,1464,"[5, 61, 1]"
Chebyshev,93.381919822048,1704,"[5, 71, 1]"
Chebyshev,93.33068414015757,2016,"[5, 84, 1]"
Chebyshev,92.89937631974044,312,"[5, 13, 1]"
Chebyshev,92.59517667956267,1968,"[5, 82, 1]"
Chebyshev,90.8078113361267,168,"[5, 7, 1]"
Chebyshev,90.62767536726673,120,"[5, 5, 1]"
Chebyshev,89.61726225242474,144,"[5, 6, 1]"
