Model,Best_Accuracy,Params,FC_Dims
Fourier,95.96048995495393,1222,"[5, 33, 1]"
Fourier,95.49766393773618,1740,"[5, 47, 1]"
Fourier,95.39131948588759,1629,"[5, 44, 1]"
Fourier,95.36382849486672,1444,"[5, 39, 1]"
Fourier,95.01446439837915,963,"[5, 26, 1]"
Fourier,94.98308935385646,1703,"[5, 46, 1]"
Fourier,94.96211659726058,1370,"[5, 37, 1]"
Fourier,94.95285646500454,1222,"[5, 33, 1]"
Fourier,94.82935636861559,3368,"[5, 91, 1]"
Fourier,94.78481834121352,2443,"[5, 66, 1]"
Fourier,94.65395964794115,1407,"[5, 38, 1]"
Fourier,94.63169077901289,3516,"[5, 95, 1]"
Fourier,94.61371596723855,1407,"[5, 38, 1]"
Fourier,94.60190710115978,1296,"[5, 35, 1]"
Fourier,94.58532770237609,2221,"[5, 60, 1]"
Fourier,94.51914207011464,1555,"[5, 42, 1]"
Fourier,94.49817226078528,1148,"[5, 31, 1]"
Fourier,94.43794153599492,963,"[5, 26, 1]"
Fourier,94.14957160736846,3257,"[5, 88, 1]"
Fourier,94.07459181168196,2332,"[5, 63, 1]"
Fourier,94.01597414489045,3516,"[5, 95, 1]"
Fourier,94.00176471827993,2036,"[5, 55, 1]"
Fourier,93.9049290605822,741,"[5, 20, 1]"
Fourier,93.75358100510002,1592,"[5, 43, 1]"
Fourier,93.6776411694652,2554,"[5, 69, 1]"
Fourier,93.62550971332642,1629,"[5, 44, 1]"
Fourier,93.56422810362919,1740,"[5, 47, 1]"
Fourier,93.53306261671469,445,"[5, 12, 1]"
Fourier,93.48308302263194,704,"[5, 19, 1]"
Fourier,93.4366846846826,1000,"[5, 27, 1]"
Fourier,93.37226580748623,1370,"[5, 37, 1]"
Fourier,93.33147647651236,3072,"[5, 83, 1]"
Fourier,93.28423256038494,2850,"[5, 77, 1]"
Fourier,93.13100615759194,1888,"[5, 51, 1]"
Fourier,93.11318145432107,2813,"[5, 76, 1]"
Fourier,93.04968990418638,2776,"[5, 75, 1]"
Fourier,93.03291424806062,2221,"[5, 60, 1]"
Fourier,93.00434618744559,2110,"[5, 57, 1]"
Fourier,92.99770154206598,2554,"[5, 69, 1]"
Fourier,92.97948828762912,815,"[5, 22, 1]"
Fourier,92.75008978709181,1814,"[5, 49, 1]"
Fourier,92.74880775809912,3627,"[5, 98, 1]"
Fourier,92.73279553535507,1111,"[5, 30, 1]"
Fourier,92.68421695181644,1962,"[5, 53, 1]"
Fourier,92.62890933557289,556,"[5, 15, 1]"
Fourier,92.51930030303544,963,"[5, 26, 1]"
Fourier,92.4596100250703,3664,"[5, 99, 1]"
Fourier,92.36773216737198,1777,"[5, 48, 1]"
Fourier,90.99605343971284,2961,"[5, 80, 1]"
Fourier,85.64081451544445,186,"[5, 5, 1]"
