Model,Best_Accuracy,Params,FC_Dims
Mlp,95.0152885394162,106723,"[5, 121, 254, 293, 1]"
Mlp,94.94597327985309,142832,"[5, 270, 277, 143, 182, 1]"
Mlp,94.57962114051864,139649,"[5, 285, 283, 200, 1]"
Mlp,94.57688493671075,113765,"[5, 253, 238, 130, 157, 1]"
Mlp,94.5289546223475,26244,"[5, 293, 83, 1]"
Mlp,94.13017234239598,108392,"[5, 164, 267, 130, 216, 1]"
Mlp,94.0785977002031,149076,"[5, 274, 274, 149, 206, 1]"
Mlp,93.97796698920267,72469,"[5, 300, 234, 1]"
Mlp,93.94600635090752,63685,"[5, 153, 263, 42, 254, 1]"
Mlp,93.56895310614044,64655,"[5, 296, 211, 1]"
Mlp,93.55558142047013,103131,"[5, 247, 222, 208, 1]"
Mlp,93.53565700495,111665,"[5, 229, 264, 98, 236, 1]"
Mlp,93.51081316733895,53989,"[5, 298, 174, 1]"
Mlp,93.5007856195338,21175,"[5, 234, 78, 18, 1]"
Mlp,93.47016134834625,72023,"[5, 261, 138, 245, 1]"
Mlp,93.40559721010536,153682,"[5, 278, 275, 156, 204, 1]"
Mlp,93.37713891126656,38269,"[5, 143, 258, 1]"
Mlp,93.35356540500177,69958,"[5, 279, 243, 1]"
Mlp,93.27923878813318,160137,"[5, 285, 285, 268, 1]"
Mlp,93.25717289401072,99287,"[5, 163, 274, 112, 198, 1]"
Mlp,93.23196611519914,82003,"[5, 218, 248, 78, 87, 1]"
Mlp,93.19053186441285,40225,"[5, 109, 171, 120, 1]"
Mlp,93.18271548357411,71266,"[5, 56, 197, 300, 1]"
Mlp,93.15185270084046,135219,"[5, 253, 295, 132, 147, 1]"
Mlp,93.01797670988377,129932,"[5, 259, 293, 113, 165, 1]"
Mlp,92.99873595640373,71783,"[5, 128, 234, 173, 1]"
Mlp,92.87863222578781,49763,"[5, 264, 106, 186, 1]"
Mlp,92.84166313408336,91778,"[5, 241, 153, 205, 105, 1]"
Mlp,92.77873451303589,23831,"[5, 89, 256, 1]"
Mlp,92.38079260160018,45322,"[5, 37, 137, 287, 1]"
Mlp,92.14614483217134,15843,"[5, 286, 26, 238, 1]"
Mlp,92.0661110085779,137128,"[5, 260, 235, 182, 170, 1]"
Mlp,92.0042710599105,16415,"[5, 168, 46, 159, 1]"
Mlp,91.96192075060104,38331,"[5, 121, 112, 210, 1]"
Mlp,91.81765481664495,15813,"[5, 182, 80, 1]"
Mlp,91.67302648716311,62431,"[5, 191, 221, 70, 46, 1]"
Mlp,91.33110090244074,18636,"[5, 70, 85, 140, 1]"
Mlp,91.20872062730069,45005,"[5, 112, 114, 97, 205, 1]"
Mlp,91.18079375834245,48200,"[5, 181, 215, 15, 279, 1]"
Mlp,91.03795064656784,23467,"[5, 76, 295, 1]"
Mlp,90.84645782105446,18709,"[5, 94, 189, 1]"
Mlp,89.86509453074503,41765,"[5, 231, 18, 238, 132, 1]"
Mlp,89.33955902735626,15803,"[5, 13, 285, 19, 300, 1]"
Mlp,88.69756745897173,7147,"[5, 232, 18, 78, 1]"
Mlp,88.11505366127308,17062,"[5, 269, 57, 1]"
Mlp,83.15478243322576,981,"[5, 140, 1]"
Mlp,82.18423976899855,1450,"[5, 207, 1]"
Mlp,81.87375485584995,2094,"[5, 299, 1]"
Mlp,81.14651550640762,1443,"[5, 206, 1]"
Mlp,78.63821982283372,1723,"[5, 246, 1]"
